recording,paired_words,count_accuracy_pct,boundary_mean_ms,boundary_median_ms,boundary_p90_ms,stress_actual_accuracy_pct,stress_dict_accuracy_pct,stress_total
6fori,43,79.1,45.5,30.7,102.8,35.7,35.7,28
7fori,42,81.0,40.8,27.2,76.0,50.0,50.0,28
