recording,paired_words,count_accuracy_pct,boundary_mean_ms,boundary_median_ms,boundary_p90_ms,stress_actual_accuracy_pct,stress_dict_accuracy_pct,stress_total
6fori,43,79.1,47.3,29.4,108.1,35.7,35.7,28
7fori,42,81.0,40.1,26.9,90.7,50.0,50.0,28
