recording,paired_words,count_accuracy_pct,boundary_mean_ms,boundary_median_ms,boundary_p90_ms,stress_accuracy_pct,stress_hits,stress_total
6fori,43,79.1,46.8,36.0,105.3,35.7,10,28
7fori,42,81.0,46.2,35.4,95.0,50.0,14,28
